quadkey,latitude,longitude,rwi,error
12122222002112,41.8777409,45.1428223,-0.190,0.368
12033330200130,42.5126012,42.3303223,0.567,0.395
12033333101020,41.9921597,44.4836426,0.269,0.378
12033321012333,42.8195802,41.2976074,0.539,0.391
12033323131232,41.6482878,42.0666504,0.866,0.377
12033331332323,42.0411335,44.7692871,0.547,0.390
12033321111311,42.9966118,42.1765137,0.137,0.407
12033323133110,41.6318669,42.1545410,0.224,0.386
12122222011133,41.9758267,45.6921387,0.319,0.359
12033321122323,42.5611723,41.6052246,0.061,0.376
12033323121220,41.6647045,41.6711426,0.548,0.424
12033330220323,42.1715458,42.3083496,0.824,0.340
12033321012320,42.8356950,41.2316895,0.157,0.400
12033333032313,41.5496996,44.1101074,0.479,0.400
12033332022103,41.6154418,42.3083496,0.153,0.364
12033321102313,42.8518056,41.6491699,0.479,0.406
12033330212020,42.3828935,42.5500488,0.211,0.352
12033332313322,41.2530319,43.5168457,-0.056,0.309
12033333011220,41.9268027,44.1320801,0.092,0.377
12033330203300,42.3504246,42.4621582,0.056,0.363
12033332133231,41.5332536,43.4948730,0.161,0.383
12033333001131,41.9921597,43.9343262,0.354,0.371
12033321333323,42.0411335,42.1325684,-0.141,0.375
12033333102021,41.8613786,44.3298340,0.446,0.361
12033330223320,42.0574497,42.4621582,0.122,0.359
12033331221123,42.2366514,43.8903809,0.294,0.293
12033333032012,41.6154418,44.0002441,0.222,0.357
12033323132012,41.6154418,41.8908691,-0.779,0.329
12033302333330,43.0929602,40.7482910,0.838,0.436
12033332132223,41.5168034,43.2751465,-0.002,0.392
12033333211320,41.4015351,44.2199707,0.307,0.291
12033330200002,42.5287958,42.1984863,-0.088,0.293
12033330233300,42.0900695,42.8137207,1.034,0.335
12033330230131,42.2529173,42.7038574,0.822,0.369
12033330202101,42.4153456,42.3083496,0.454,0.348
12033321311301,42.4801994,42.1325684,-0.025,0.366
12033321102312,42.8518056,41.6271973,0.065,0.393
12033333312221,41.2695490,44.6813965,-0.090,0.313
12033332123033,41.5825791,43.1433105,0.161,0.369
12033330212222,42.3016898,42.5500488,-0.123,0.373
12122222102210,41.8286415,45.7580566,-0.052,0.393
12033330323121,42.1226726,43.1872559,0.305,0.412
12033333100322,41.9104530,44.3957520,0.073,0.397
12033333313013,41.3520716,44.9011230,-0.027,0.376
12033330312330,42.3179389,43.3850098,0.196,0.377
12033330222122,42.1063732,42.2863770,0.355,0.354
12033332022101,41.6318669,42.3083496,0.675,0.379
12033331332322,42.0411335,44.7473145,0.105,0.356
12033323110233,41.9104530,41.9128418,1.102,0.396
12033330330323,42.1715458,43.3630371,-0.306,0.351
12033323131311,41.6975254,42.1765137,0.538,0.386
12033323111120,41.9921597,42.1105957,0.733,0.364
12033321310120,42.5126012,41.9348145,0.232,0.360
12033330333020,42.1226726,43.4289551,0.104,0.378
12033330320323,42.1715458,43.0114746,0.331,0.380
12122222020030,41.7303295,45.0549316,0.228,0.387
12033321133313,42.5935321,42.1765137,0.201,0.372
12033323111200,41.9594896,42.0227051,0.103,0.402
12033332133112,41.6154418,43.5607910,0.635,0.407
12122222022222,41.5168034,45.0109863,0.051,0.359
12033321311323,42.4315653,42.1325684,-0.221,0.368
12033330222103,42.1389679,42.3083496,0.517,0.387
12033332121201,41.6975254,43.0993652,0.204,0.388
12033332023033,41.5825791,42.4401855,-0.136,0.282
12033330122212,42.5935321,42.9455566,0.108,0.298
12033321031131,42.7712106,41.4733887,0.389,0.413
12033330200202,42.4639923,42.1984863,0.675,0.354
12033333133121,41.5990125,44.9450684,0.396,0.352
12122222021102,41.7467253,45.2746582,-0.026,0.460
12033332101132,41.9758267,43.2092285,-0.099,0.310
12033333101133,41.9758267,44.6374512,-0.059,0.417
12033332301033,41.4509609,43.1433105,-0.057,0.284
12033323110300,41.9594896,41.9348145,-0.199,0.369
12033333010132,41.9758267,44.0881348,0.346,0.390
12033333033013,41.6154418,44.1979980,0.072,0.322
12033330221100,42.2854365,42.4621582,0.174,0.374
12122222200203,41.4180145,45.0329590,0.463,0.390
12033332133103,41.6154418,43.5388184,0.016,0.343
12033321120102,42.7873380,41.5832520,-0.044,0.422
12033333101002,42.0084885,44.4836426,0.318,0.410
12033332313123,41.3190751,43.5388184,0.650,0.387
12033321010223,42.9483809,41.1657715,-0.298,0.319
12033323120323,41.6482878,41.6052246,0.684,0.450
12033323113312,41.8122666,42.1545410,-0.250,0.307
12033333010110,42.0248131,44.0881348,0.315,0.370
12033330202013,42.3991216,42.2644043,0.030,0.332
12033330323122,42.1063732,43.1652832,0.978,0.360
12033330230303,42.2041070,42.6599121,0.287,0.400
12033331223311,42.0900695,43.9343262,-0.432,0.356
12122223222001,41.1041904,46.4392090,-0.288,0.294
12033323133112,41.6154418,42.1545410,0.216,0.374
12122222123120,41.5990125,45.9777832,1.232,0.373
12122222102332,41.7795043,45.8459473,-0.088,0.365
12033333102301,41.8286415,44.4177246,-0.326,0.336
12033330230220,42.1878285,42.5500488,0.217,0.362
12033333301122,41.4509609,44.5715332,0.878,0.414
12033333000023,41.9758267,43.6267090,-0.076,0.393
12033330220302,42.2041070,42.2863770,0.433,0.361
12033321301330,42.4477809,41.8029785,0.301,0.385
12122222011223,41.9104530,45.5603027,0.764,0.375
12033330223213,42.0737617,42.4401855,0.402,0.398
12122222022033,41.5825791,45.0769043,0.546,0.384
12033332101131,41.9921597,43.2312012,0.578,0.368
12033330202130,42.3828935,42.3303223,0.053,0.382
12033321123122,42.6258751,41.7590332,0.701,0.424
12033330221211,42.2203813,42.4401855,0.546,0.383
12122222020222,41.6482878,45.0109863,0.554,0.378
12033333001111,42.0248131,43.9343262,-0.196,0.381
12033332311033,41.4509609,43.4948730,0.301,0.372
12033330301003,42.5287958,43.0993652,0.110,0.387
12033330222301,42.0900695,42.3083496,-0.167,0.367
12033330131310,42.7389432,43.5607910,0.268,0.365
12033332201100,41.5003491,42.4621582,-0.549,0.283
12033321321301,42.2203813,41.7810059,0.168,0.363
12033333310023,41.4509609,44.6813965,0.221,0.376
12033321313222,42.3016898,42.0227051,-0.028,0.373
12033330200321,42.4477809,42.3083496,-0.057,0.411
12033332313212,41.2860619,43.4729004,0.809,0.402
12033333101320,41.9268027,44.5715332,0.902,0.338
12033321300320,42.4477809,41.5832520,-0.013,0.402
12122222010201,41.9594896,45.3845215,0.592,0.376
12033303230012,43.3011957,41.1877441,-0.619,0.302
12033323101312,41.9431482,41.8029785,0.566,0.388
12033333130231,41.6647045,44.7253418,0.603,0.417
12033321132111,42.6743581,42.0007324,-0.273,0.396
12033323132030,41.5990125,41.8908691,0.114,0.367
12033332023301,41.5661414,42.4841309,-0.126,0.379
12033321313002,42.3991216,42.0227051,-0.245,0.381
12033333133330,41.5332536,44.9670410,0.280,0.372
12033332123132,41.5825791,43.2092285,-0.088,0.348
12033330321230,42.1878285,43.1213379,-0.066,0.481
12033321311230,42.4477809,42.0666504,0.071,0.377
12033330230010,42.2854365,42.5939941,0.020,0.383
12033333102131,41.8613786,44.4616699,0.640,0.399
12033333131332,41.6482878,44.9670410,0.394,0.470
12122222130101,41.7631169,46.1755371,-0.208,0.374
12033332133212,41.5496996,43.4729004,0.168,0.385
12033332311232,41.3850514,43.4729004,0.457,0.382
12033321301332,42.4315653,41.8029785,0.886,0.383
12033303222231,43.0929602,40.8581543,-0.177,0.412
12033333112101,41.8940990,44.7692871,1.245,0.425
12033333110312,41.9431482,44.7912598,0.475,0.385
12033332133211,41.5661414,43.4948730,-0.029,0.381
12033331233001,42.1552589,44.1540527,0.592,0.332
12033330230113,42.2691790,42.7038574,1.770,0.372
12122222010213,41.9431482,45.4284668,0.894,0.373
12033332122001,41.6318669,42.9235840,0.040,0.376
12033333103201,41.8286415,44.5056152,0.076,0.362
12033331222202,42.0737617,43.6047363,0.066,0.359
12122222210001,41.5003491,45.3845215,0.519,0.385
12033321321002,42.2691790,41.6711426,0.230,0.380
12033333110123,41.9758267,44.7692871,0.884,0.383
12033333130102,41.7467253,44.7473145,0.897,0.455
12033333310311,41.4344898,44.8132324,0.661,0.384
12033331233223,42.0411335,44.1540527,0.299,0.383
12033333132123,41.5825791,44.7692871,0.954,0.382
12033330221202,42.2041070,42.3742676,0.560,0.374
12033330330230,42.1878285,43.2971191,0.091,0.335
12122222020001,41.7631169,45.0329590,0.343,0.380
12033333111331,41.9268027,44.9890137,0.144,0.328
12033332031200,41.6975254,42.7258301,0.596,0.387
12122222123103,41.6154418,45.9997559,0.982,0.380
12033330331032,42.2366514,43.4729004,0.671,0.402
12033333123230,41.5332536,44.5275879,0.486,0.373
12033330232211,42.0900695,42.6159668,0.551,0.370
12033332032000,41.6318669,42.5500488,0.060,0.360
12033333211203,41.4180145,44.1540527,0.089,0.326
12033323111002,42.0084885,42.0227051,-0.213,0.348
12033321333301,42.0900695,42.1325684,0.780,0.355
12033321313031,42.3828935,42.0886230,0.468,0.360
12033321123011,42.6743581,41.7370605,-0.227,0.369
12033321312233,42.3016898,41.9128418,0.564,0.398
12122222021133,41.7139296,45.3405762,0.404,0.403
12033332023023,41.5825791,42.3962402,0.298,0.359
12122222112312,41.8122666,46.1975098,-0.157,0.360
12033332002231,41.7958876,42.2644043,0.265,0.307
12033333312132,41.3190751,44.7912598,0.395,0.382
12033321312231,42.3179389,41.9128418,0.997,0.422
12033331312333,42.3016898,44.8132324,-0.239,0.281
12033330223101,42.1552589,42.4841309,0.746,0.382
12033333311312,41.4180145,44.9670410,0.023,0.375
12033330223230,42.0574497,42.4182129,-0.250,0.327
12033333121112,41.7467253,44.6154785,-0.021,0.363
12033330303230,42.3179389,43.1213379,-0.644,0.321
12033330313212,42.3341839,43.4729004,0.284,0.379
12033333011211,41.9594896,44.1979980,0.451,0.383
12033333330012,41.2199853,44.7033691,-0.302,0.337
12033303212212,43.3651252,41.1877441,-0.679,0.302
12033323103323,41.7795043,41.7810059,0.928,0.410
12033332030122,41.7139296,42.6379395,0.051,0.313
12033330230232,42.1715458,42.5939941,0.063,0.358
12033321132123,42.6258751,41.9567871,0.389,0.424
12122222113213,41.8122666,46.3073730,0.156,0.382
12033321311033,42.4964024,42.0886230,-0.151,0.368
12033303323213,43.1090035,41.7370605,-0.181,0.318
12033333313001,41.3685636,44.8571777,-0.002,0.392
12033332121200,41.6975254,43.0773926,0.904,0.375
12033321312221,42.3179389,41.8688965,-0.041,0.373
12033330230112,42.2691790,42.6818848,1.144,0.386
12033321321310,42.2203813,41.8029785,1.013,0.378
12033332310110,41.5003491,43.3850098,0.159,0.363
12033330232113,42.1389679,42.7038574,0.070,0.383
12033323121232,41.6482878,41.7150879,0.578,0.394
12033330232230,42.0574497,42.5939941,0.271,0.376
12122222011103,42.0084885,45.6481934,-0.144,0.355
12033333311230,41.4015351,44.8791504,0.186,0.385
12122220223032,42.1063732,45.2307129,0.116,0.341
12033333330010,41.2365107,44.7033691,-0.386,0.333
12033330232223,42.0411335,42.5720215,-0.294,0.372
12033333111031,41.9921597,44.9011230,0.944,0.346
12033332110211,41.9594896,43.3190918,0.357,0.366
12033321132030,42.6420403,41.8908691,-0.201,0.385
12033321132113,42.6582013,42.0007324,0.631,0.402
12033333301233,41.3850514,44.5495605,-0.442,0.363
12033330222333,42.0411335,42.3522949,0.302,0.381
12033333310031,41.4674278,44.7253418,0.579,0.385
12033332021221,41.6647045,42.3962402,-0.070,0.429
12122222031320,41.6647045,45.6262207,0.590,0.375
12033330222320,42.0574497,42.2863770,0.059,0.361
12033321120101,42.8034612,41.6052246,-0.417,0.351
12033321001032,43.0126804,41.0119629,0.753,0.417
12033330220202,42.2041070,42.1984863,1.065,0.371
12122222033023,41.5825791,45.5603027,0.184,0.383
12122222002131,41.8613786,45.1647949,0.168,0.359
12122222113203,41.8122666,46.2634277,0.447,0.407
12033330330313,42.2041070,43.4069824,0.217,0.397
12122222102011,41.8940990,45.7800293,-0.213,0.323
12122222100320,41.9268027,45.8020020,0.216,0.377
12033323110001,42.0248131,41.8688965,0.342,0.392
12033330011003,43.0448049,42.7478027,0.171,0.425
12033330033201,42.6097057,42.7478027,0.311,0.373
12033332120233,41.6482878,42.9675293,0.366,0.416
12033302332011,43.1891572,40.5065918,0.234,0.464
12033330231030,42.2529173,42.7697754,0.032,0.386
12033333122203,41.5496996,44.3298340,0.145,0.354
12033330303320,42.3179389,43.1652832,-0.031,0.290
12033331230201,42.2203813,43.9782715,0.767,0.449
12122222123211,41.5661414,45.9558105,1.269,0.386
12122222020231,41.6647045,45.0769043,0.757,0.405
12033321012113,42.9162059,41.2976074,-0.321,0.319
12033333311021,41.4674278,44.8571777,0.257,0.382
12033333310202,41.4180145,44.6594238,0.055,0.376
12033331232023,42.1063732,43.9782715,-0.006,0.362
12033330230322,42.1715458,42.6379395,-0.091,0.379
12033330233201,42.0900695,42.7478027,0.263,0.386
12033330202310,42.3504246,42.3303223,0.579,0.384
12033333133331,41.5332536,44.9890137,0.254,0.343
12033330200113,42.5287958,42.3522949,0.075,0.385
12033330333331,42.0574497,43.5827637,0.090,0.359
12033321132223,42.5611723,41.8688965,0.440,0.409
12033321133020,42.6420403,42.0227051,0.678,0.358
12033303202203,43.3651252,40.8142090,-0.484,0.304
12033330120103,42.7873380,43.0114746,0.701,0.394
12033321323333,42.0411335,41.8249512,0.338,0.376
12033330232320,42.0574497,42.6379395,0.642,0.361
12122220223322,42.0411335,45.2746582,0.385,0.376
12033323122211,41.5661414,41.5612793,1.345,0.428
12033321132311,42.6097057,42.0007324,0.420,0.370
12122220223232,42.0411335,45.2307129,0.044,0.385
12033321331011,42.2854365,42.0886230,0.455,0.403
12033323111301,41.9594896,42.1325684,0.896,0.370
12033333313002,41.3520716,44.8352051,0.026,0.381
12033331222122,42.1063732,43.6926270,0.102,0.309
12122220223323,42.0411335,45.2966309,0.883,0.340
12033330330133,42.2366514,43.4069824,0.201,0.344
12033321312313,42.3341839,42.0007324,-0.135,0.430
12033321123032,42.6258751,41.7150879,0.510,0.418
12033333101303,41.9431482,44.5935059,0.429,0.395
12033312232233,43.0769126,42.6159668,-0.016,0.439
12033330200000,42.5449861,42.1984863,-0.290,0.424
12122222001031,41.9921597,45.2526855,-0.168,0.429
12122222201002,41.4838905,45.1867676,0.507,0.361
12033321331311,42.2203813,42.1765137,0.634,0.375
12033332101133,41.9758267,43.2312012,-0.294,0.312
12033323112311,41.8286415,42.0007324,-0.483,0.357
12033331212222,42.3016898,43.9562988,0.606,0.375
12033321120010,42.8034612,41.5393066,0.279,0.371
12033321001201,42.9966118,40.9899902,1.200,0.422
12033333311112,41.4838905,44.9670410,-0.209,0.348
12033333300202,41.4180145,44.3078613,-0.032,0.298
12033332000022,41.9758267,42.1984863,0.556,0.377
12033330333013,42.1389679,43.4948730,-0.332,0.301
12033330202032,42.3666611,42.2424316,-0.055,0.364
12033321332231,42.0574497,41.9128418,-0.134,0.369
12033331020220,42.7066590,43.6047363,0.384,0.302
12033302321330,43.2211892,40.3967285,0.179,0.419
12033321132001,42.6743581,41.8688965,0.685,0.405
12033332120313,41.6811170,43.0554199,-0.194,0.390
12033302332133,43.1410776,40.5944824,0.012,0.417
12033321301021,42.5126012,41.6931152,0.577,0.422
12122222011301,41.9594896,45.6481934,-0.523,0.334
12033333132200,41.5661414,44.6594238,0.374,0.401
12033330200213,42.4639923,42.2644043,0.661,0.344
12033330232221,42.0574497,42.5720215,0.225,0.382
12033302321300,43.2532044,40.3527832,-0.024,0.319
12122222112211,41.8286415,46.1315918,0.658,0.408
12033333301231,41.4015351,44.5495605,0.435,0.386
12033332123131,41.5990125,43.2312012,0.419,0.375
12033333310211,41.4344898,44.7253418,0.608,0.391
12033333213121,41.3355755,44.2419434,0.954,0.364
12033333133113,41.6154418,44.9890137,0.541,0.406
12122222020000,41.7631169,45.0109863,0.531,0.376
12033333001102,42.0084885,43.8684082,0.174,0.382
12033332031201,41.6975254,42.7478027,0.286,0.318
12122222011010,42.0248131,45.5822754,0.069,0.370
12033330230020,42.2529173,42.5500488,0.264,0.380
12033331223122,42.1063732,43.8684082,0.353,0.387
12033323132123,41.5825791,41.9567871,0.362,0.402
12033331330003,42.2691790,44.6813965,1.057,0.366
12033323121203,41.6811170,41.6931152,0.520,0.409
12033333312310,41.3025706,44.7912598,1.027,0.383
12033331330023,42.2366514,44.6813965,-0.325,0.355
12033321102221,42.8356950,41.5173340,0.235,0.371
12033321132232,42.5611723,41.8908691,0.252,0.376
12033321300300,42.4801994,41.5832520,-0.344,0.369
12033323111312,41.9431482,42.1545410,0.661,0.386
12033321333231,42.0574497,42.0886230,-0.335,0.423
12033332112301,41.8286415,43.3630371,1.241,0.429
12033333321101,41.2365107,44.5935059,0.328,0.346
12033321313200,42.3504246,42.0227051,-0.055,0.332
12122222123012,41.6154418,45.9338379,0.794,0.390
12033321013012,42.9162059,41.3635254,-0.037,0.322
12033323123032,41.5825791,41.7150879,0.204,0.383
12122222131003,41.7467253,46.2634277,0.173,0.378
12033333030222,41.6482878,43.9562988,0.003,0.382
12033321013020,42.9001121,41.3195801,-0.341,0.334
12033333032130,41.5990125,44.0881348,0.871,0.347
12033330222212,42.0737617,42.2424316,0.004,0.368
12033332313120,41.3355755,43.5168457,0.719,0.370
12033332030032,41.7139296,42.5939941,-0.186,0.415
12033323310003,41.4838905,41.8688965,0.191,0.407
12033333211223,41.3850514,44.1540527,0.121,0.323
12033332120200,41.6975254,42.9016113,-0.117,0.319
12033333131322,41.6482878,44.9230957,0.513,0.349
12033321310221,42.4477809,41.8688965,0.533,0.403
12033330221320,42.1878285,42.4621582,0.389,0.426
12033333101100,42.0248131,44.5715332,0.061,0.386
12033333123030,41.5990125,44.5275879,0.082,0.361
12033333011210,41.9594896,44.1760254,0.306,0.381
12033331230101,42.2854365,44.0661621,-0.163,0.370
12033333102013,41.8777409,44.3737793,0.181,0.469
12033302330323,43.2051753,40.5505371,0.046,0.345
12033323112130,41.8613786,41.9787598,0.131,0.380
12122222113020,41.8613786,46.2414551,-0.436,0.351
12033321012121,42.9001121,41.2536621,-0.433,0.389
12033330220030,42.2529173,42.2424316,0.421,0.384
12033321331112,42.2691790,42.1545410,-0.010,0.359
12122222103100,41.8940990,45.9777832,0.788,0.384
12033330220033,42.2366514,42.2644043,-0.392,0.351
12033333101123,41.9758267,44.5935059,-0.875,0.376
12033330011002,43.0448049,42.7258301,1.561,0.462
12033323121103,41.7467253,41.7810059,0.481,0.388
12033323113011,41.8940990,42.0886230,0.024,0.374
12033333121213,41.6811170,44.5495605,-0.396,0.441
12033333200313,41.4180145,43.7585449,0.439,0.341
12122220232201,42.0900695,45.3845215,-0.294,0.363
12033321300110,42.5449861,41.6271973,0.279,0.375
12033333330003,41.2199853,44.6813965,-0.294,0.345
12033332201121,41.4674278,42.4841309,-0.498,0.285
12033321333110,42.1552589,42.1545410,-0.420,0.390
12033321012233,42.8195802,41.2097168,0.508,0.466
12033330200223,42.4315653,42.2204590,-0.306,0.325
12033332122100,41.6318669,42.9895020,1.141,0.420
12033321012201,42.8679120,41.1657715,0.584,0.442
12033321331122,42.2366514,42.1105957,0.036,0.376
12033330230021,42.2529173,42.5720215,0.549,0.321
12033302213133,43.3970647,40.0671387,0.699,0.432
12033332000122,41.9758267,42.2863770,0.413,0.391
12033333032113,41.6154418,44.1101074,0.291,0.354
12033333013032,41.8450121,44.1760254,-0.347,0.309
12033323123001,41.6318669,41.6931152,0.608,0.394
12033302330232,43.2051753,40.4846191,0.220,0.458
12033330223203,42.0737617,42.3962402,0.002,0.333
12033333123123,41.5825791,44.5935059,0.765,0.372
12033332121213,41.6811170,43.1433105,-0.534,0.353
12033333133210,41.5661414,44.8791504,-0.362,0.414
12033302321020,43.2852028,40.2648926,1.483,0.513
12033302300220,43.4768399,40.0891113,-0.421,0.343
12033333103100,41.8940990,44.5715332,1.110,0.393
12033321323003,42.1389679,41.6931152,0.886,0.427
12033333311202,41.4180145,44.8352051,0.984,0.391
12033330200301,42.4801994,42.3083496,0.483,0.394
12033333112010,41.8940990,44.7033691,1.178,0.388
12033321313021,42.3828935,42.0446777,-0.129,0.357
12033321312003,42.3991216,41.8688965,0.024,0.380
12033333013100,41.8940990,44.2199707,-0.452,0.360
12033330202302,42.3341839,42.2863770,0.411,0.376
12122222101323,41.9104530,45.9997559,0.204,0.376
12033321303303,42.3341839,41.7810059,0.180,0.333
12033330203013,42.3991216,42.4401855,0.446,0.375
12033323103131,41.8613786,41.8249512,0.426,0.395
12033331333130,42.1226726,44.9670410,0.575,0.384
12033330122321,42.5773543,43.0114746,0.121,0.310
12033332020331,41.6647045,42.3522949,0.715,0.429
12033330332221,42.0574497,43.2751465,-0.211,0.344
12033321311231,42.4477809,42.0886230,-0.046,0.397
12033321323020,42.1226726,41.6711426,0.160,0.418
12122222210000,41.5003491,45.3625488,0.161,0.358
12033333122322,41.5168034,44.3957520,0.400,0.317
12033321333332,42.0411335,42.1545410,-0.291,0.322
12033332021023,41.7139296,42.3962402,-0.498,0.331
12033333112333,41.7795043,44.8132324,0.822,0.364
12033333211032,41.4509609,44.1760254,0.283,0.314
12033321300211,42.4801994,41.5612793,0.198,0.361
12033323110330,41.9268027,41.9787598,0.971,0.352
12033331223102,42.1389679,43.8684082,0.137,0.361
12033332111133,41.9758267,43.5827637,1.038,0.397
12033332110213,41.9431482,43.3190918,-0.224,0.371
12033333313121,41.3355755,44.9450684,0.667,0.389
12033331312130,42.3828935,44.7912598,-0.005,0.284
12033333210133,41.4509609,44.1101074,0.196,0.384
12033321123332,42.5611723,41.8029785,0.091,0.400
12122222200222,41.3850514,45.0109863,-0.302,0.529
12033321321322,42.1715458,41.7590332,-0.246,0.358
12033330212220,42.3179389,42.5500488,-0.159,0.393
12033333112300,41.8286415,44.7473145,0.984,0.387
12033302323101,43.1891572,40.3747559,-0.365,0.446
12122222020020,41.7303295,45.0109863,0.599,0.370
12033323123232,41.5168034,41.7150879,0.746,0.418
12033330233001,42.1552589,42.7478027,0.031,0.367
12033330331001,42.2854365,43.4509277,0.477,0.390
12122222001120,41.9921597,45.2746582,0.597,0.369
12033330203003,42.3991216,42.3962402,0.102,0.364
12033332022100,41.6318669,42.2863770,0.944,0.389
12033332000200,41.9594896,42.1984863,-0.174,0.369
12033331230320,42.1878285,44.0441895,0.505,0.377
12122222200323,41.3850514,45.1208496,0.573,0.401
12122222001013,42.0084885,45.2526855,0.417,0.373
12033330323201,42.0900695,43.0993652,0.889,0.347
12122222021020,41.7303295,45.1867676,0.334,0.348
12033321012133,42.8840141,41.2976074,0.004,0.308
12122222031323,41.6482878,45.6481934,0.003,0.340
12033303203220,43.3491491,40.9680176,-0.581,0.318
12033321310321,42.4477809,41.9567871,0.040,0.352
12033330200210,42.4801994,42.2424316,-0.006,0.336
12033321330120,42.2529173,41.9348145,0.473,0.357
12033330322311,42.0900695,43.0554199,0.840,0.384
12033323110032,41.9758267,41.8908691,-0.107,0.425
12033321133132,42.6258751,42.1545410,0.338,0.396
12033333213310,41.3025706,44.2639160,0.547,0.356
12033323113311,41.8286415,42.1765137,0.032,0.283
12122222103303,41.8122666,45.9997559,0.546,0.410
12033332000002,42.0084885,42.1984863,0.471,0.364
12033323123203,41.5496996,41.6931152,-0.054,0.380
12033323132330,41.5332536,41.9787598,-0.143,0.284
12033333310030,41.4674278,44.7033691,1.095,0.395
12033330323003,42.1389679,43.0993652,0.129,0.365
12033302333303,43.1090035,40.7263184,0.121,0.410
12033302301132,43.5246545,40.3967285,-0.651,0.303
12033321031113,42.7873380,41.4733887,-0.096,0.384
12033330230123,42.2366514,42.6599121,0.955,0.383
12033321332330,42.0574497,41.9787598,-0.160,0.373
12033333310231,41.4015351,44.7253418,0.033,0.362
12033321012031,42.9001121,41.2097168,0.027,0.403
12033331222031,42.1226726,43.6706543,0.348,0.306
12033323123322,41.5168034,41.7590332,0.304,0.382
12033323112321,41.7958876,41.9567871,-0.244,0.392
12033323131220,41.6647045,42.0227051,-0.412,0.316
12033333131002,41.7467253,44.8352051,0.727,0.392
12033333113000,41.8940990,44.8352051,-0.002,0.356
